District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Kishtwar,72378.0,46.2,3.0,2.8320000000000003,5.5,1.9824000000000002,5993.0,5993.0,197.76899999999998,1450.306
Kishtwar,72378.0,13.4,0.7,0.6971999999999998,47.0,3.2867999999999995,5993.0,5993.0,41.95099999999999,5597.462
Udhampur,148664.0,41.4,1.8,1.7207999999999999,0.9,0.478,34696.0,34696.0,693.92,2567.5040000000004
Udhampur,148664.0,37.1,1.8,1.7316,3.6,0.8658,34696.0,34696.0,693.92,6696.328
Udhampur,148664.0,16.5,1.8,1.7784,16.1,2.47,34696.0,34696.0,624.528,26056.695999999996
Reasi,95572.0,44.9,1.2,1.0284,1.1,0.6856,12261.0,12261.0,183.915,1103.49
Reasi,95572.0,44.4,1.2,1.0428,4.0,0.8690000000000001,12261.0,12261.0,171.65399999999997,1863.6719999999998
Reasi,95572.0,39.1,1.1,1.089,33.1,3.168,12261.0,12261.0,134.871,9661.668
Jammu,254566.0,37.5,4.8,4.7232,2.2,1.0824,248043.0,248043.0,12154.107000000002,61018.57800000001
Jammu,254566.0,30.1,4.1,4.0385,10.9,2.4625,248043.0,248043.0,10417.806,133447.134
Jammu,254566.0,22.2,3.3,3.2537999999999996,20.2,4.042599999999999,248043.0,248043.0,8433.462,210588.50700000004
Samba,94247.0,30.1,3.2,3.1776,2.3,0.7944,19989.0,19989.0,659.637,5197.14
Samba,94247.0,28.2,2.9,2.8796999999999997,3.2,0.993,19989.0,19989.0,599.67,6576.380999999999
Samba,94247.0,17.7,1.1,1.0923,8.5,2.1846,19989.0,19989.0,219.87900000000002,14132.223
Chamba,186395.0,35.1,2.1,1.9929000000000001,2.5,0.7592,13836.0,13836.0,318.228,6751.967999999999
