State Name,District,Households_Rural,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
JAMMU & KASHMIR,Anantnag,207067.0,1078692.0,27.9,3.0,2.9579999999999997,16.3,6.901999999999999,70666.0,70666.0,2190.646,53352.83
JAMMU & KASHMIR,Kulgam,95952.0,424483.0,47.0,4.3,4.1667000000000005,6.3,6.783,25178.0,25178.0,1183.366,10499.226
JAMMU & KASHMIR,Kulgam,95952.0,424483.0,45.9,4.3,4.1753,7.1,6.8941,25178.0,25178.0,1158.1879999999999,11304.921999999999
JAMMU & KASHMIR,Kulgam,95952.0,424483.0,41.1,4.1,4.009799999999999,10.8,7.2372000000000005,25178.0,25178.0,1057.476,14729.13
JAMMU & KASHMIR,Doda,122267.0,409936.0,55.2,1.4,1.2936,6.3,2.1252,11350.0,11350.0,181.6,2724.0
JAMMU & KASHMIR,Doda,122267.0,409936.0,52.8,1.5,1.3935000000000002,9.8,2.9728000000000003,11350.0,11350.0,192.95,3325.55
JAMMU & KASHMIR,Doda,122267.0,409936.0,23.4,2.9,2.8739,52.5,14.171299999999999,11350.0,11350.0,329.15,10600.9
JAMMU & KASHMIR,Ramban,84281.0,283713.0,40.1,1.6,1.3072,2.9,1.6340000000000001,5341.0,5341.0,112.161,950.698
JAMMU & KASHMIR,Ramban,84281.0,283713.0,39.4,1.6,1.3168,3.2,1.8929,5341.0,5341.0,112.161,1073.5410000000002
JAMMU & KASHMIR,Ramban,84281.0,283713.0,19.3,2.4,2.3712,11.2,8.398,5341.0,5341.0,128.184,4417.0070000000005
JAMMU & KASHMIR,Kishtwar,72378.0,230696.0,48.1,3.2,3.0112,3.0,1.882,5993.0,5993.0,203.762,1198.6
JAMMU & KASHMIR,Kishtwar,72378.0,230696.0,46.2,3.0,2.8320000000000003,5.5,1.9824000000000002,5993.0,5993.0,197.76899999999998,1450.306
JAMMU & KASHMIR,Kishtwar,72378.0,230696.0,13.4,0.7,0.6971999999999998,47.0,3.2867999999999995,5993.0,5993.0,41.95099999999999,5597.462
JAMMU & KASHMIR,Udhampur,148664.0,554985.0,41.4,1.8,1.7207999999999999,0.9,0.478,34696.0,34696.0,693.92,2567.5040000000004
JAMMU & KASHMIR,Udhampur,148664.0,554985.0,37.1,1.8,1.7316,3.6,0.8658,34696.0,34696.0,693.92,6696.328
JAMMU & KASHMIR,Udhampur,148664.0,554985.0,16.5,1.8,1.7784,16.1,2.47,34696.0,34696.0,624.528,26056.695999999996
JAMMU & KASHMIR,Reasi,95572.0,314667.0,44.9,1.2,1.0284,1.1,0.6856,12261.0,12261.0,183.915,1103.49
JAMMU & KASHMIR,Reasi,95572.0,314667.0,44.4,1.2,1.0428,4.0,0.8690000000000001,12261.0,12261.0,171.65399999999997,1863.6719999999998
JAMMU & KASHMIR,Reasi,95572.0,314667.0,39.1,1.1,1.089,33.1,3.168,12261.0,12261.0,134.871,9661.668
JAMMU & KASHMIR,Jammu,254566.0,1529958.0,37.5,4.8,4.7232,2.2,1.0824,248043.0,248043.0,12154.107000000002,61018.57800000001
JAMMU & KASHMIR,Jammu,254566.0,1529958.0,30.1,4.1,4.0385,10.9,2.4625,248043.0,248043.0,10417.806,133447.134
JAMMU & KASHMIR,Jammu,254566.0,1529958.0,22.2,3.3,3.2537999999999996,20.2,4.042599999999999,248043.0,248043.0,8433.462,210588.50700000004
JAMMU & KASHMIR,Samba,94247.0,318898.0,30.1,3.2,3.1776,2.3,0.7944,19989.0,19989.0,659.637,5197.14
JAMMU & KASHMIR,Samba,94247.0,318898.0,28.2,2.9,2.8796999999999997,3.2,0.993,19989.0,19989.0,599.67,6576.380999999999
JAMMU & KASHMIR,Samba,94247.0,318898.0,17.7,1.1,1.0923,8.5,2.1846,19989.0,19989.0,219.87900000000002,14132.223
HIMACHAL PRADESH,Chamba,186395.0,519080.0,35.1,2.1,1.9929000000000001,2.5,0.7592,13836.0,13836.0,318.228,6751.967999999999
HIMACHAL PRADESH,Chamba,186395.0,519080.0,33.8,2.0,1.9,5.4,0.855,13836.0,13836.0,304.392,7125.54
HIMACHAL PRADESH,Chamba,186395.0,519080.0,17.5,0.7,0.6783,41.9,2.4225,13836.0,13836.0,96.85199999999999,12037.32
HIMACHAL PRADESH,Kangra,588321.0,1510075.0,24.9,1.4,1.3761999999999999,1.7,1.6710999999999998,39007.0,39007.0,546.098,25120.508
HIMACHAL PRADESH,Kangra,588321.0,1510075.0,24.5,1.4,1.3747999999999998,2.6,1.5712000000000002,39007.0,39007.0,546.098,25549.585
HIMACHAL PRADESH,Kangra,588321.0,1510075.0,18.4,1.6,1.56,17.3,0.6825,39007.0,39007.0,624.1120000000001,32102.761000000002
HIMACHAL PRADESH,Kullu,167995.0,437903.0,27.0,1.1,1.0846,1.9,0.8874,20709.0,20709.0,248.50799999999998,11224.278
HIMACHAL PRADESH,Kullu,167995.0,437903.0,25.6,1.1,1.0824,5.4,0.7872000000000001,20709.0,20709.0,248.50799999999998,12094.055999999999
