State Name,District,Households_Rural,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
UTTAR PRADESH,Pratapgarh,209813.0,867848.0,43.1,6.2,6.0202,1.1,1.2623,24269.0,24269.0,1528.947,2742.397
UTTAR PRADESH,Pratapgarh,711085.0,3209141.0,43.1,6.2,6.0202,1.1,1.2623,41701.0,41701.0,2627.163,4712.213000000001
UTTAR PRADESH,Pratapgarh,209813.0,867848.0,42.4,6.0,5.808,1.5,1.2584,24269.0,24269.0,1480.4089999999999,3397.66
UTTAR PRADESH,Pratapgarh,711085.0,3209141.0,42.4,6.0,5.808,1.5,1.2584,41701.0,41701.0,2543.761,5838.14
UTTAR PRADESH,Pratapgarh,209813.0,867848.0,28.8,3.0,2.766,9.3,1.2908,24269.0,24269.0,728.07,15556.428999999998
UTTAR PRADESH,Pratapgarh,711085.0,3209141.0,28.8,3.0,2.766,9.3,1.2908,41701.0,41701.0,1251.03,26730.340999999997
UTTAR PRADESH,Saharanpur,605082.0,3466382.0,42.6,5.4,4.9626,4.5,1.838,284156.0,284156.0,16196.892,121902.924
UTTAR PRADESH,Saharanpur,605082.0,3466382.0,40.4,4.7,4.3757,10.8,1.8619999999999999,284156.0,284156.0,13923.644000000002,165662.94799999997
UTTAR PRADESH,Saharanpur,605082.0,3466382.0,35.6,3.0,2.8739999999999997,24.5,1.8201999999999998,284156.0,284156.0,8808.836,261423.52
UTTAR PRADESH,Muzaffarnagar,673746.0,4143512.0,44.3,4.2,3.717,6.1,1.947,296104.0,296104.0,13620.784,162561.096
UTTAR PRADESH,Muzaffarnagar,673746.0,4143512.0,42.4,3.9,3.5216999999999996,8.0,1.806,296104.0,296104.0,12436.368,195428.64
UTTAR PRADESH,Muzaffarnagar,673746.0,4143512.0,37.9,3.1,2.9388,12.6,1.5168000000000001,296104.0,296104.0,9475.328000000001,274192.304
UTTAR PRADESH,Bijnor,683875.0,3682713.0,47.5,5.2,4.7372,6.0,2.0042,224648.0,224648.0,12355.64,113222.59199999999
UTTAR PRADESH,Bijnor,683875.0,3682713.0,46.0,4.7,4.3381,7.9,1.9383000000000001,224648.0,224648.0,11232.4,135912.04
UTTAR PRADESH,Bijnor,683875.0,3682713.0,41.1,3.1,2.9791,14.1,1.8258999999999999,224648.0,224648.0,7188.736000000001,207574.75200000004
UTTAR PRADESH,Moradabad,692398.0,4772006.0,55.3,5.4,4.752000000000001,4.6,2.64,355518.0,355518.0,21331.08,169937.604
UTTAR PRADESH,Moradabad,692398.0,4772006.0,51.2,4.6,4.1262,9.1,2.6910000000000003,355518.0,355518.0,18131.417999999998,224687.37600000002
UTTAR PRADESH,Moradabad,692398.0,4772006.0,43.0,3.1,2.8861000000000003,18.0,2.8861000000000003,355518.0,355518.0,11376.576000000001,332764.848
UTTAR PRADESH,Rampur,396775.0,2335819.0,60.3,5.8,5.4056,4.7,4.2871999999999995,143217.0,143217.0,8879.454,80774.38799999999
UTTAR PRADESH,Rampur,396775.0,2335819.0,56.8,5.3,4.987299999999999,6.1,3.8580999999999994,143217.0,143217.0,8020.151999999999,94809.65400000001
UTTAR PRADESH,Rampur,396775.0,2335819.0,46.9,3.8,3.6746,10.2,2.6109000000000004,143217.0,143217.0,5585.463,135053.631
UTTAR PRADESH,Jyotiba Phule Nagar,335888.0,1840221.0,53.1,5.3,4.6693,3.7,2.1144,115486.0,115486.0,6813.674,46540.858
UTTAR PRADESH,Jyotiba Phule Nagar,335888.0,1840221.0,51.9,5.0,4.495,5.8,2.1576000000000004,115486.0,115486.0,6236.244000000001,61438.552
UTTAR PRADESH,Jyotiba Phule Nagar,335888.0,1840221.0,48.3,3.9,3.7166999999999994,12.1,2.3825,115486.0,115486.0,4619.44,106247.12
UTTAR PRADESH,Meerut,381520.0,3443689.0,39.8,3.5,2.807,4.9,1.8445999999999998,422303.0,422303.0,17314.423,224242.893
UTTAR PRADESH,Meerut,381520.0,3443689.0,36.3,2.7,2.3571,18.5,2.6189999999999998,422303.0,422303.0,12669.09,312926.523
UTTAR PRADESH,Meerut,381520.0,3443689.0,33.2,2.0,1.8719999999999999,30.6,3.3695999999999997,422303.0,422303.0,8868.363000000001,392319.487
UTTAR PRADESH,Baghpat,246055.0,1303048.0,41.2,2.7,2.1627,5.0,2.0025,69991.0,69991.0,2239.712,41154.708
UTTAR PRADESH,Baghpat,246055.0,1303048.0,41.4,2.7,2.2275000000000005,5.6,1.98,69991.0,69991.0,2239.712,45284.177
UTTAR PRADESH,Baghpat,246055.0,1303048.0,42.2,2.9,2.6477,7.9,1.8259999999999998,69991.0,69991.0,2169.721,60542.215
UTTAR PRADESH,Ghaziabad,355407.0,4681645.0,43.7,3.3,2.8808999999999996,4.8,1.6586999999999998,836316.0,836316.0,30107.376,500116.968
UTTAR PRADESH,Ghaziabad,355407.0,4681645.0,35.6,2.1,1.9572000000000003,30.5,1.3980000000000001,836316.0,836316.0,19235.267999999996,707523.3359999999
UTTAR PRADESH,Ghaziabad,355407.0,4681645.0,32.2,1.7,1.6269,41.2,1.2441000000000002,836316.0,836316.0,15053.688,792827.568
UTTAR PRADESH,Gautam Buddha Nagar,170835.0,1648115.0,37.9,2.2,1.9931999999999999,8.3,1.3589999999999998,338935.0,338935.0,8134.44,175229.395
UTTAR PRADESH,Gautam Buddha Nagar,170835.0,1648115.0,30.8,1.5,1.4280000000000002,42.1,1.1423999999999999,338935.0,338935.0,5422.96,263352.495
UTTAR PRADESH,Gautam Buddha Nagar,170835.0,1648115.0,27.1,1.2,1.1711999999999998,59.8,0.976,338935.0,338935.0,4406.155,310125.525
UTTAR PRADESH,Bulandshahr,658449.0,3499171.0,45.9,3.6,2.9844000000000004,2.7,1.1606,221628.0,221628.0,9530.003999999999,68483.052
UTTAR PRADESH,Bulandshahr,658449.0,3499171.0,44.7,3.4,2.9172,4.6,1.3728,221628.0,221628.0,8643.492,98181.20399999998
UTTAR PRADESH,Bulandshahr,658449.0,3499171.0,40.9,2.7,2.5569,10.5,2.2728,221628.0,221628.0,6205.583999999999,188383.8
UTTAR PRADESH,Aligarh,582117.0,3673889.0,47.7,3.7,3.1598,2.0,1.5372000000000003,275942.0,275942.0,11865.506,59051.587999999996
UTTAR PRADESH,Aligarh,582117.0,3673889.0,44.9,3.3,2.9007,6.4,2.3733000000000004,275942.0,275942.0,10485.795999999998,115895.64
UTTAR PRADESH,Aligarh,582117.0,3673889.0,39.2,2.6,2.4232,15.4,4.3804,275942.0,275942.0,7450.434,232895.048
UTTAR PRADESH,Mahamaya Nagar,288150.0,1564708.0,50.6,3.9,3.6153000000000004,2.0,0.7416000000000001,84883.0,84883.0,3565.0860000000002,14005.695
UTTAR PRADESH,Mahamaya Nagar,288150.0,1564708.0,49.1,3.7,3.4446999999999997,5.6,1.3964999999999999,84883.0,84883.0,3395.32,24106.771999999997
UTTAR PRADESH,Mahamaya Nagar,288150.0,1564708.0,43.8,3.1,2.9295,19.1,4.0634999999999994,84883.0,84883.0,2716.2560000000003,61709.941000000006
UTTAR PRADESH,Mathura,407488.0,2547184.0,48.7,3.7,3.4003,1.9,0.7352000000000001,177802.0,177802.0,7112.08,34849.192
UTTAR PRADESH,Mathura,407488.0,2547184.0,45.6,3.3,3.0525,8.1,1.2025,177802.0,177802.0,6223.07,66853.552
UTTAR PRADESH,Mathura,407488.0,2547184.0,38.1,2.2,2.0702000000000003,23.1,2.3525,177802.0,177802.0,4089.446,144375.22400000002
UTTAR PRADESH,Agra,496971.0,4418797.0,50.5,4.2,4.0236,1.4,1.0538,406852.0,406852.0,17494.636,67537.432
UTTAR PRADESH,Agra,496971.0,4418797.0,44.0,3.1,2.9667000000000003,16.4,1.6269,406852.0,406852.0,13019.264000000001,188372.47599999997
UTTAR PRADESH,Agra,496971.0,4418797.0,36.3,1.8,1.7207999999999999,34.4,2.2943999999999996,406852.0,406852.0,7730.187999999999,333618.64
UTTAR PRADESH,Firozabad,349747.0,2498156.0,54.8,6.4,6.105600000000001,1.6,0.9540000000000001,185621.0,185621.0,12436.607,21160.793999999998
UTTAR PRADESH,Firozabad,349747.0,2498156.0,52.5,5.5,5.192,6.6,1.2272,185621.0,185621.0,10766.018,66081.076
UTTAR PRADESH,Firozabad,349747.0,2498156.0,48.0,3.8,3.5112,16.4,1.848,185621.0,185621.0,7424.84,152394.841
UTTAR PRADESH,Mainpuri,338475.0,1868529.0,52.2,7.4,7.2372000000000005,0.9,1.1735999999999998,72783.0,72783.0,5458.725,9825.705
UTTAR PRADESH,Mainpuri,338475.0,1868529.0,50.2,6.9,6.7137,1.8,1.2649,72783.0,72783.0,5094.81,16885.656
UTTAR PRADESH,Mainpuri,338475.0,1868529.0,39.5,4.3,4.0506,6.6,1.9782000000000002,72783.0,72783.0,3202.452,54878.382000000005
UTTAR PRADESH,Budaun,710956.0,3681896.0,57.7,7.2,6.4152,2.0,1.1582999999999999,156668.0,156668.0,12690.108,32900.28
UTTAR PRADESH,Budaun,710956.0,3681896.0,56.2,7.0,6.3,3.2,1.17,156668.0,156668.0,12063.436000000002,48880.416
UTTAR PRADESH,Budaun,710956.0,3681896.0,49.0,6.2,5.834199999999999,8.5,1.2233,156668.0,156668.0,9870.084,121417.7
UTTAR PRADESH,Bareilly,631613.0,4448359.0,56.1,7.0,6.279,4.6,2.9600999999999997,362798.0,362798.0,27935.446,162533.504
UTTAR PRADESH,Bareilly,631613.0,4448359.0,51.9,5.8,5.3302,14.4,2.6651,362798.0,362798.0,22856.273999999998,224934.76
UTTAR PRADESH,Bareilly,631613.0,4448359.0,44.6,3.9,3.7323000000000004,31.6,2.1054000000000004,362798.0,362798.0,14511.92,334862.554
UTTAR PRADESH,Pilibhit,371752.0,2031007.0,57.9,8.7,8.0301,3.3,2.1228999999999996,89638.0,89638.0,8246.696,31821.49
UTTAR PRADESH,Pilibhit,371752.0,2031007.0,55.3,8.6,7.963599999999999,4.9,2.1297999999999995,89638.0,89638.0,8157.057999999999,40247.462
UTTAR PRADESH,Pilibhit,371752.0,2031007.0,43.2,8.2,7.716199999999999,12.5,1.7878999999999998,89638.0,89638.0,7529.592000000001,79598.544
UTTAR PRADESH,Shahjahanpur,520289.0,3006538.0,59.3,11.7,11.302199999999997,2.8,2.1252,134714.0,134714.0,16165.68,36372.78
UTTAR PRADESH,Shahjahanpur,520289.0,3006538.0,57.1,11.0,10.626,3.8,2.2218,134714.0,134714.0,15087.967999999999,51595.46199999999
UTTAR PRADESH,Shahjahanpur,520289.0,3006538.0,48.0,8.1,7.8165,8.1,2.509,134714.0,134714.0,11046.547999999999,115719.32600000002
UTTAR PRADESH,Kheri,754938.0,4021243.0,62.5,10.9,10.638399999999999,1.8,1.6591999999999998,107672.0,107672.0,11951.591999999999,19703.976000000002
UTTAR PRADESH,Kheri,754938.0,4021243.0,60.4,10.7,10.4111,2.3,1.7513999999999998,107672.0,107672.0,11736.248,26702.656000000003
UTTAR PRADESH,Kheri,754938.0,4021243.0,43.5,8.8,8.3512,5.9,2.0878,107672.0,107672.0,9582.808,82046.064
UTTAR PRADESH,Sitapur,827583.0,4483992.0,60.5,12.0,11.735999999999999,1.0,1.2714,111319.0,111319.0,13469.598999999998,13246.961000000001
UTTAR PRADESH,Sitapur,827583.0,4483992.0,58.4,11.6,11.31,1.8,1.365,111319.0,111319.0,13135.642000000002,20371.377
UTTAR PRADESH,Sitapur,827583.0,4483992.0,40.4,8.4,7.9548000000000005,8.9,2.0834,111319.0,111319.0,9462.115,80149.68
UTTAR PRADESH,Hardoi,786613.0,4092845.0,60.8,8.2,8.0032,1.8,1.5615999999999999,121064.0,121064.0,10048.312,21065.135999999995
UTTAR PRADESH,Hardoi,786613.0,4092845.0,58.7,8.0,7.784,3.0,1.6541,121064.0,121064.0,9806.184,29660.68
UTTAR PRADESH,Hardoi,786613.0,4092845.0,44.4,6.5,6.188000000000001,11.6,2.0944000000000003,121064.0,121064.0,7990.223999999999,89587.36
UTTAR PRADESH,Unnao,596317.0,3108367.0,57.5,7.2,7.02,1.6,1.0725000000000002,121039.0,121039.0,8835.847,19124.162
UTTAR PRADESH,Unnao,596317.0,3108367.0,55.0,6.8,6.596,3.2,1.164,121039.0,121039.0,8351.691,30138.710999999996
UTTAR PRADESH,Unnao,596317.0,3108367.0,41.8,5.0,4.705,11.5,1.6938,121039.0,121039.0,6172.988999999999,86784.963
UTTAR PRADESH,Lucknow,344155.0,4589838.0,55.5,8.1,7.856999999999999,2.6,1.3579999999999999,717566.0,717566.0,59557.97800000001,154276.69
UTTAR PRADESH,Lucknow,344155.0,4589838.0,37.9,5.4,5.1624,35.2,1.3383999999999998,717566.0,717566.0,39466.13,470723.2959999999
UTTAR PRADESH,Lucknow,344155.0,4589838.0,29.1,4.0,3.7960000000000003,51.5,1.3286000000000002,717566.0,717566.0,29420.205999999995,629305.382
UTTAR PRADESH,Rae Bareli,705025.0,3405559.0,54.1,7.7,7.5152,1.4,1.2688,73393.0,73393.0,5724.654,9834.662
UTTAR PRADESH,Rae Bareli,705025.0,3405559.0,52.2,7.4,7.2002,4.2,1.2649,73393.0,73393.0,5577.8679999999995,13430.919000000002
UTTAR PRADESH,Rae Bareli,705025.0,3405559.0,32.0,5.0,4.7,34.5,1.3159999999999998,73393.0,73393.0,3816.436,52182.422999999995
UTTAR PRADESH,Farrukhabad,316647.0,1885204.0,57.9,8.5,8.253499999999999,2.1,1.8448999999999998,94843.0,94843.0,8156.498,22667.477
UTTAR PRADESH,Farrukhabad,316647.0,1885204.0,54.8,7.6,7.3492,5.1,2.0307000000000004,94843.0,94843.0,7397.754,34902.224
UTTAR PRADESH,Farrukhabad,316647.0,1885204.0,43.7,4.6,4.374599999999999,15.6,2.7579,94843.0,94843.0,4457.621,77486.731
UTTAR PRADESH,Kannauj,299785.0,1656616.0,56.8,8.7,8.482499999999998,1.9,1.8525,65985.0,65985.0,5806.68,14318.745
UTTAR PRADESH,Kannauj,299785.0,1656616.0,54.1,8.2,7.937599999999999,3.8,1.8392,65985.0,65985.0,5476.755,20191.41
UTTAR PRADESH,Kannauj,299785.0,1656616.0,40.7,5.8,5.422999999999999,13.5,1.87,65985.0,65985.0,3893.115,49884.66
UTTAR PRADESH,Etawah,265643.0,1581810.0,53.4,7.7,7.5075,1.5,1.8525,85483.0,85483.0,6667.674,16925.634000000002
UTTAR PRADESH,Etawah,265643.0,1581810.0,49.9,6.9,6.6792,2.9,1.936,85483.0,85483.0,5983.81,28978.736999999997
UTTAR PRADESH,Etawah,265643.0,1581810.0,38.0,4.0,3.772,7.9,2.0746,85483.0,85483.0,3590.2860000000005,71292.822
UTTAR PRADESH,Auraiya,255836.0,1379545.0,54.1,8.9,8.7042,2.3,1.5648000000000002,58438.0,58438.0,5259.42,11921.351999999999
UTTAR PRADESH,Auraiya,255836.0,1379545.0,51.1,8.1,7.840799999999999,3.7,1.5488,58438.0,58438.0,4791.916,17122.334000000003
UTTAR PRADESH,Auraiya,255836.0,1379545.0,35.8,3.9,3.5841000000000003,11.0,1.3785000000000003,58438.0,58438.0,2337.52,43945.376000000004
UTTAR PRADESH,Kanpur Dehat,363933.0,1796184.0,55.3,8.2,7.9704,3.1,1.7496,41323.0,41323.0,3471.132,9504.29
UTTAR PRADESH,Kanpur Dehat,363933.0,1796184.0,53.5,8.0,7.736000000000001,3.9,1.7406,41323.0,41323.0,3347.163,11157.21
UTTAR PRADESH,Kanpur Dehat,363933.0,1796184.0,36.7,5.7,5.238300000000001,11.8,1.7461000000000002,41323.0,41323.0,2438.0570000000002,27397.148999999998
UTTAR PRADESH,Kanpur Nagar,364869.0,4581268.0,57.1,6.8,6.602799999999999,2.1,1.0681,684906.0,684906.0,47258.514,161637.81600000002
UTTAR PRADESH,Kanpur Nagar,364869.0,4581268.0,43.7,5.4,5.1408000000000005,40.2,1.0472000000000001,684906.0,684906.0,38354.736,433545.49799999996
UTTAR PRADESH,Kanpur Nagar,364869.0,4581268.0,36.3,4.6,4.3332,61.1,1.0362,684906.0,684906.0,32875.488,583539.912
UTTAR PRADESH,Jalaun,304856.0,1689974.0,54.0,2.8,2.6459999999999995,2.4,2.079,91565.0,91565.0,2655.385,25912.895
UTTAR PRADESH,Jalaun,304856.0,1689974.0,50.4,2.9,2.7434,5.4,1.7973999999999999,91565.0,91565.0,2838.515,36534.435
UTTAR PRADESH,Jalaun,304856.0,1689974.0,39.3,3.5,3.332,14.4,0.8568000000000001,91565.0,91565.0,3204.775,69223.13999999998
UTTAR PRADESH,Jhansi,309592.0,1998603.0,45.3,1.9,1.8258999999999999,2.2,2.4025,195321.0,195321.0,3906.42,40431.447
UTTAR PRADESH,Jhansi,309592.0,1998603.0,39.7,1.9,1.8182999999999998,7.2,1.9140000000000001,195321.0,195321.0,3711.0989999999997,80276.93100000001
UTTAR PRADESH,Jhansi,309592.0,1998603.0,31.2,1.8,1.71,14.6,1.0450000000000002,195321.0,195321.0,3711.0989999999997,139849.836
UTTAR PRADESH,Lalitpur,258013.0,1221592.0,50.8,2.6,2.4960000000000004,1.1,1.5360000000000003,43819.0,43819.0,1183.113,5258.28
UTTAR PRADESH,Lalitpur,258013.0,1221592.0,48.4,2.6,2.4882000000000004,2.2,1.4355000000000002,43819.0,43819.0,1183.113,8500.886
UTTAR PRADESH,Lalitpur,258013.0,1221592.0,34.1,2.6,2.4362,8.4,0.7496,43819.0,43819.0,1139.294,27562.151
UTTAR PRADESH,Mahoba,198298.0,875958.0,48.5,1.6,1.5312000000000001,1.1,1.4355000000000002,48525.0,48525.0,824.925,8637.45
UTTAR PRADESH,Mahoba,198298.0,875958.0,48.1,1.6,1.5296,2.2,1.3383999999999998,48525.0,48525.0,824.925,12373.875
UTTAR PRADESH,Mahoba,198298.0,875958.0,46.7,1.5,1.4295,6.4,1.1436,48525.0,48525.0,776.4,26543.175
UTTAR PRADESH,Banda,378056.0,1799410.0,49.1,1.0,0.935,1.2,1.3090000000000002,67569.0,67569.0,743.2590000000001,13513.8
UTTAR PRADESH,Banda,378056.0,1799410.0,46.6,1.1,1.0285000000000002,2.2,1.4025,67569.0,67569.0,810.828,18986.889000000003
UTTAR PRADESH,Banda,378056.0,1799410.0,33.1,1.6,1.5024000000000002,7.9,1.5024000000000002,67569.0,67569.0,1148.673,49663.215
UTTAR PRADESH,Chitrakoot,207237.0,991730.0,49.6,1.7,1.6099,0.9,1.1364,23558.0,23558.0,424.04400000000004,2779.844
UTTAR PRADESH,Chitrakoot,207237.0,991730.0,49.0,1.8,1.6992000000000003,1.2,1.1328,23558.0,23558.0,447.602,3887.07
UTTAR PRADESH,Chitrakoot,207237.0,991730.0,43.7,2.6,2.379,3.6,1.0979999999999999,23558.0,23558.0,636.066,13828.546
UTTAR PRADESH,Fatehpur,558807.0,2632733.0,55.7,5.5,5.3295,1.8,1.6473000000000002,77733.0,77733.0,4430.781,14225.139000000001
UTTAR PRADESH,Fatehpur,558807.0,2632733.0,53.6,5.4,5.211,2.6,1.6404999999999998,77733.0,77733.0,4275.315,19200.051
UTTAR PRADESH,Fatehpur,558807.0,2632733.0,38.5,4.2,3.9312,7.8,1.4975999999999998,77733.0,77733.0,3342.519,56045.492999999995
UTTAR PRADESH,Kaushambi,349856.0,1599596.0,52.9,4.3,4.127999999999999,1.3,1.5360000000000003,30764.0,30764.0,1353.616,4245.432
UTTAR PRADESH,Kaushambi,349856.0,1599596.0,51.9,4.3,4.1108,1.6,1.6251999999999998,30764.0,30764.0,1353.616,5137.588
UTTAR PRADESH,Kaushambi,349856.0,1599596.0,39.5,4.2,3.78,5.5,2.5199999999999996,30764.0,30764.0,1353.616,15812.695999999998
UTTAR PRADESH,Allahabad,983266.0,5954391.0,46.7,4.4,4.224,1.7,1.44,265304.0,265304.0,12203.983999999999,41387.424
UTTAR PRADESH,Allahabad,983266.0,5954391.0,42.5,4.0,3.82,12.8,1.528,265304.0,265304.0,11142.768,82244.24
UTTAR PRADESH,Allahabad,983266.0,5954391.0,28.3,2.8,2.6236,50.7,1.7803,265304.0,265304.0,7693.816,222855.36
UTTAR PRADESH,Bara Banki,635840.0,3260699.0,49.6,11.7,11.4075,1.2,1.0725000000000002,79068.0,79068.0,9409.092,10436.976
UTTAR PRADESH,Bara Banki,635840.0,3260699.0,48.4,11.4,11.080800000000002,2.1,1.0692000000000002,79068.0,79068.0,9171.887999999999,14469.444000000001
UTTAR PRADESH,Bara Banki,635840.0,3260699.0,37.3,8.5,8.0325,10.6,1.5120000000000002,79068.0,79068.0,6957.984,53608.10399999999
UTTAR PRADESH,Faizabad,510378.0,2470996.0,49.6,9.1,8.7633,1.7,1.0593000000000001,79288.0,79288.0,7373.784000000001,11496.76
UTTAR PRADESH,Faizabad,510378.0,2470996.0,47.4,8.5,8.134500000000001,3.4,1.2441000000000002,79288.0,79288.0,6898.056,17998.376
UTTAR PRADESH,Faizabad,510378.0,2470996.0,33.0,4.7,4.3145999999999995,14.3,1.7442,79288.0,79288.0,3885.112,60417.456000000006
UTTAR PRADESH,Ambedkar Nagar,501559.0,2397888.0,44.2,9.5,9.101,1.6,1.7244,65031.0,65031.0,6438.069,9039.309000000001
UTTAR PRADESH,Ambedkar Nagar,501559.0,2397888.0,43.4,9.5,9.025,2.6,1.71,65031.0,65031.0,6438.069,12095.766000000001
UTTAR PRADESH,Ambedkar Nagar,501559.0,2397888.0,37.3,9.2,8.187999999999999,9.9,2.0469999999999997,65031.0,65031.0,6373.0380000000005,35376.864
UTTAR PRADESH,Sultanpur,839737.0,3797117.0,48.2,8.4,8.1396,1.3,1.6473000000000002,49891.0,49891.0,4290.626,6535.721
UTTAR PRADESH,Sultanpur,839737.0,3797117.0,47.1,8.2,7.929399999999999,2.1,1.6439,49891.0,49891.0,4190.844,8082.342
UTTAR PRADESH,Sultanpur,839737.0,3797117.0,27.1,4.2,3.8514000000000004,17.2,1.6506,49891.0,49891.0,2195.204,36370.539000000004
UTTAR PRADESH,Bahraich,698520.0,3487731.0,60.0,8.4,8.181600000000001,1.1,1.2662000000000002,61742.0,61742.0,5309.812,6482.91
UTTAR PRADESH,Bahraich,698520.0,3487731.0,58.5,8.2,7.962199999999999,1.9,1.4564999999999997,61742.0,61742.0,5186.328,9693.493999999999
UTTAR PRADESH,Bahraich,698520.0,3487731.0,39.6,5.5,5.159,12.1,3.6582,61742.0,61742.0,3519.2940000000003,49084.89
UTTAR PRADESH,Shrawasti,248770.0,1117361.0,53.4,6.6,6.27,0.9,1.805,8504.0,8504.0,578.2719999999999,884.416
UTTAR PRADESH,Shrawasti,248770.0,1117361.0,52.8,6.7,6.3515999999999995,1.2,1.8011999999999997,8504.0,8504.0,586.7760000000001,1020.48
UTTAR PRADESH,Shrawasti,248770.0,1117361.0,34.9,9.5,8.511999999999999,12.1,1.7024,8504.0,8504.0,850.4,5357.52
UTTAR PRADESH,Balrampur,410070.0,2148665.0,53.6,6.3,5.9724,0.9,0.948,35768.0,35768.0,2396.456,3648.336
UTTAR PRADESH,Balrampur,410070.0,2148665.0,52.3,6.2,5.859,1.3,1.0395,35768.0,35768.0,2324.92,5365.2
UTTAR PRADESH,Balrampur,410070.0,2148665.0,37.0,4.0,3.628,5.9,2.0861,35768.0,35768.0,1466.4879999999998,25717.192000000003
UTTAR PRADESH,Gonda,673578.0,3433919.0,49.4,11.1,10.7448,1.0,0.8712000000000001,52794.0,52794.0,5965.722000000001,4170.726000000001
UTTAR PRADESH,Gonda,673578.0,3433919.0,48.2,10.7,10.336199999999998,2.0,0.8694,52794.0,52794.0,5754.545999999999,6599.25
UTTAR PRADESH,Gonda,673578.0,3433919.0,30.3,4.3,3.9861,16.7,1.854,52794.0,52794.0,2322.936,40704.174
UTTAR PRADESH,Siddharthnagar,480165.0,2559297.0,42.8,6.4,6.1568000000000005,1.3,1.3468,33348.0,33348.0,2200.968,3468.192
UTTAR PRADESH,Siddharthnagar,480165.0,2559297.0,42.2,6.3,6.0417000000000005,1.6,1.4385000000000003,33348.0,33348.0,2167.62,4235.196
UTTAR PRADESH,Siddharthnagar,480165.0,2559297.0,32.9,5.1,4.656299999999999,6.2,2.4651,33348.0,33348.0,1734.096,15640.212
UTTAR PRADESH,Basti,513960.0,2464464.0,38.8,9.7,9.3508,1.3,1.4460000000000002,31065.0,31065.0,3106.5,4069.515
UTTAR PRADESH,Basti,513960.0,2464464.0,38.4,9.5,9.1295,1.9,1.5375999999999999,31065.0,31065.0,3044.37,5094.66
UTTAR PRADESH,Basti,513960.0,2464464.0,31.8,6.6,5.9201999999999995,10.6,1.8837000000000002,31065.0,31065.0,2112.42,22397.865
UTTAR PRADESH,Sant Kabir Nagar,324972.0,1715183.0,42.1,10.0,9.73,1.6,1.5568,27179.0,27179.0,2772.258,3343.0170000000003
UTTAR PRADESH,Sant Kabir Nagar,324972.0,1715183.0,41.6,9.7,9.3896,2.2,1.6456,27179.0,27179.0,2690.7210000000005,4076.85
UTTAR PRADESH,Sant Kabir Nagar,324972.0,1715183.0,34.5,6.1,5.49,11.0,3.6,27179.0,27179.0,1739.4560000000001,13507.963
UTTAR PRADESH,Mahrajganj,573046.0,2684703.0,49.5,8.5,8.210999999999999,1.9,2.0286,34033.0,34033.0,2994.9040000000005,5683.5109999999995
UTTAR PRADESH,Mahrajganj,573046.0,2684703.0,48.8,8.4,8.0892,2.2,2.0223,34033.0,34033.0,2960.8709999999996,6398.204000000001
UTTAR PRADESH,Mahrajganj,573046.0,2684703.0,35.5,5.6,5.0736,6.8,1.6307999999999998,34033.0,34033.0,1973.914,19875.272
UTTAR PRADESH,Gorakhpur,761958.0,4440895.0,45.4,8.7,8.4477,2.1,1.8448999999999998,189170.0,189170.0,16836.13,35185.62
UTTAR PRADESH,Gorakhpur,761958.0,4440895.0,42.3,7.7,7.4305,6.0,1.8335,189170.0,189170.0,14944.43,58075.19
UTTAR PRADESH,Gorakhpur,761958.0,4440895.0,29.4,3.5,3.3005,21.8,1.886,189170.0,189170.0,6999.29,152092.68000000002
UTTAR PRADESH,Kushinagar,742324.0,3564544.0,54.6,8.3,8.1174,1.5,1.4669999999999999,42775.0,42775.0,3635.875,6330.7
UTTAR PRADESH,Kushinagar,742324.0,3564544.0,53.6,8.3,8.084200000000001,2.0,1.4610000000000003,42775.0,42775.0,3635.875,7271.75
UTTAR PRADESH,Kushinagar,742324.0,3564544.0,35.1,9.0,8.109,12.8,1.4416,42775.0,42775.0,4020.85,26648.825
UTTAR PRADESH,Deoria,597778.0,3100946.0,45.3,8.4,8.223600000000001,1.6,1.2727000000000002,67928.0,67928.0,5773.88,11343.975999999999
UTTAR PRADESH,Deoria,597778.0,3100946.0,43.9,8.2,7.9704,2.2,1.3607999999999998,67928.0,67928.0,5638.024,14400.735999999999
UTTAR PRADESH,Deoria,597778.0,3100946.0,30.7,6.3,5.7456,8.3,1.7328000000000001,67928.0,67928.0,4483.248,42387.072
UTTAR PRADESH,Azamgarh,891024.0,4613913.0,46.5,8.8,8.5008,2.1,1.7388,80434.0,80434.0,7239.06,13512.912
UTTAR PRADESH,Azamgarh,891024.0,4613913.0,45.0,8.4,8.013600000000002,3.2,1.8126,80434.0,80434.0,6997.757999999999,16488.97
UTTAR PRADESH,Azamgarh,891024.0,4613913.0,27.8,4.3,3.4701,16.4,2.2596,80434.0,80434.0,3860.8320000000003,51960.363999999994
UTTAR PRADESH,Mau,352207.0,2205968.0,45.2,9.8,9.4374,2.0,1.4445,99321.0,99321.0,10031.421,17480.496
UTTAR PRADESH,Mau,352207.0,2205968.0,42.2,8.9,8.1524,3.2,1.4656,99321.0,99321.0,9336.174,27213.953999999998
